Case: My Case


,Input - General

,,Input,Value
,,Application Type,New Construction
,,Analysis Mode,Design
,,Reference Building,My Design


,Input - Geometry Screen

,,Input,Value,Units
,,Finished Floor Area,3000,sqft
,,Bedrooms,1
,,Bathrooms,2
,,Occupants,10


,Input - Options Screen

,,Group Name,Category Name,Option Name,My Design,
,,,,"R-13 Fiberglass Batt, 2x4, 16 in o.c.",,
,,,,"R-15 Fiberglass Batt, 2x4, 16 in o.c.",,
,,,,"R-19 Fiberglass Batt, 2x6, 24 in o.c.",,
,,,,"R-21 Fiberglass Batt, 2x6, 24 in o.c.",,
,,,,"R-25 Fiberglass Batt, 2x8, 24 in o.c.",,
,,,,"R-13 Cellulose, 2x4, 16 in o.c.",,
,,,,"R-13 Cellulose, 2x4, 16 in o.c., Grade 2",,
,,,,"R-13 Cellulose, 2x4, 16 in o.c., Grade 3",,
,,,,"R-19 Cellulose, 2x6, 24 in o.c.",,
,,,,"R-13 Fiberglass, 2x4, 16 in o.c.",,
,,,,"R-19 Fiberglass, 2x6, 24 in o.c.",,
,,,CMU
,,,,None,x,
,,,,6-in Concrete Filled,,
,,,,"6-in Concrete Filled, R-10 XPS",,
,,,,"6-in Concrete Filled, R-12 Polyiso",,
,,,,"6-in Concrete Filled, R-13 Closed Cell Spray Foam",,
,,,,"6-in Concrete Filled, R-19 Fiberglass Batt, 2x6, 24 in o.c.",,
,,,,6-in Hollow,,
,,,,"6-in Hollow, R-10 XPS",,
,,,,"6-in Hollow, R-12 Polyiso",,
,,,,"6-in Hollow, R-13 Closed Cell Spray Foam",,
,,,,"6-in Hollow, R-19 Fiberglass Batt, 2x6, 24 in o.c.",,
,,,,8-in Hollow,,
,,,,"8-in Hollow, R-10 XPS",,
,,,,"8-in Hollow, R-12 Polyiso",,
,,,,"8-in Hollow, R-13 Closed Cell Spray Foam",,
,,,,"8-in Hollow, R-19 Fiberglass Batt, 2x6, 24 in o.c.",,
,,,,12-in Hollow,,
,,,,"12-in Hollow, R-10 XPS",,
,,,,"12-in Hollow, R-12 Polyiso",,
,,,,"12-in Hollow, R-13 Closed Cell Spray Foam",,
,,,,"12-in Hollow, R-19 Fiberglass Batt, 2x6, 24 in o.c.",,
,,,,6-in Perlite Filled,,
,,,,"6-in Perlite Filled, R-10 XPS",,
,,,,"6-in Perlite Filled, R-12 Polyiso",,
,,,,"6-in Perlite Filled, R-13 Closed Cell Spray Foam",,
,,,,"6-in Perlite Filled, R-19 Fiberglass Batt, 2x6, 24 in o.c.",,
,,,SIP
,,,,None,x,
,,,,"3.6 in EPS Core, OSB int.",,
,,,,"5.6 in EPS Core, OSB int.",,
,,,,"7.4 in EPS Core, OSB int.",,
,,,,"9.4 in EPS Core, OSB int.",,
,,,,"3.6 in EPS Core, Gypsum int.",,
,,,,"5.6 in EPS Core, Gypsum int.",,
,,,,"7.4 in EPS Core, Gypsum int.",,
,,,,"9.4 in EPS Core, Gypsum int.",,
,,,ICF
,,,,None,x,
,,,,"2"" EPS, 4"" Concrete, 2"" EPS",,
,,,,"2"" EPS, 8"" Concrete, 2"" EPS",,
,,,,"2"" EPS, 12"" Concrete, 2"" EPS",,
,,,Wall Sheathing
,,,,None,,
,,,,OSB,x,
,,,,R-5 XPS,,
,,,,R-10 XPS,,
,,,,R-15 XPS,,
,,,,R-6 Polyiso,,
,,,,R-12 Polyiso,,
,,,,"OSB, R-5 XPS",,
,,,,"OSB, R-10 XPS",,
,,,,"OSB, R-15 XPS",,
,,,,"OSB, R-6 Polyiso",,
,,,,"OSB, R-12 Polyiso",,
,,,Exterior Finish
,,,,None,,
,,,,"Stucco, Medium/Dark",,
,,,,"Brick, Light",,
,,,,"Brick, Medium/Dark",,
,,,,"Wood, Light",,
,,,,"Wood, Medium/Dark",,
,,,,"Aluminum, Light",,
,,,,"Aluminum, Medium/Dark",,
,,,,"Vinyl, Light",x,
,,,,"Vinyl, Medium/Dark",,
,,,,"Fiber-Cement, Light",,
,,,,"Fiber-Cement, Medium/Dark",,
,,Ceilings/Roofs
,,,Unfinished Attic
,,,,None,,
,,,,"Uninsulated, Vented",,
,,,,"Ceiling R-7 Fiberglass, Vented",x,
,,,,"Ceiling R-13 Fiberglass, Vented",,
,,,,"Ceiling R-19 Fiberglass, Vented",,
,,,,"Ceiling R-30 Fiberglass, Vented",,
,,,,"Ceiling R-38 Fiberglass, Vented",,
,,,,"Ceiling R-49 Fiberglass, Vented",,
,,,,"Ceiling R-60 Fiberglass, Vented",,
,,,,"Ceiling R-7 Cellulose, Vented",,
,,,,"Ceiling R-13 Cellulose, Vented",,
,,,,"Ceiling R-13 Cellulose, Roof R-49 Closed Cell Spray Foam, Unvented",,
,,,,"Ceiling R-19 Cellulose, Vented",,
,,,,"Ceiling R-30 Cellulose, Vented",,
,,,,"Ceiling R-38 Cellulose, Vented",,
,,,,"Ceiling R-49 Cellulose, Vented",,
,,,,"Ceiling R-60 Cellulose, Vented",,
,,,,"Ceiling R-30 Fiberglass Batt, Vented",,
,,,,"Ceiling R-38 Fiberglass Batt, Vented",,
,,,,"Ceiling R-49 Fiberglass Batt, Vented",,
,,,,"Ceiling R-30 Closed Cell Spray Foam, Vented",,
,,,,"Ceiling R-38 Closed Cell Spray Foam, Vented",,
,,,,"Ceiling R-49 Closed Cell Spray Foam, Vented",,
,,,,"Ceiling R-60 Closed Cell Spray Foam, Vented",,
,,,,"Ceiling R-30 Open Cell Spray Foam, Vented",,
,,,,"Ceiling R-38 Open Cell Spray Foam, Vented",,
,,,,"Ceiling R-49 Open Cell Spray Foam, Vented",,
,,,,"Ceiling R-60 Open Cell Spray Foam, Vented",,
,,,,"Roof R-19 Fiberglass Batt, Unvented",,
,,,,"Roof R-30 Fiberglass Batt, Unvented",,
,,,,"Roof R-38 Fiberglass Batt, Unvented",,
,,,,"Roof R-38 Fiberglass Batt, R-24 Polyiso, Unvented",,
,,,,"Roof R-38 Fiberglass Batt, R-25 XPS, Unvented",,
,,,,"Roof R-30 Closed Cell Spray Foam, Unvented",,
,,,,"Roof R-38 Closed Cell Spray Foam, Unvented",,
,,,,"Roof R-49 Closed Cell Spray Foam, Unvented",,
,,,,"Roof R-60 Closed Cell Spray Foam, Unvented",,
,,,,"Roof R-30 Open Cell Spray Foam, Unvented",,
,,,,"Roof R-38 Open Cell Spray Foam, Unvented",,
,,,,"Roof R-49 Open Cell Spray Foam, Unvented",,
,,,,"Roof R-60 Open Cell Spray Foam, Unvented",,
,,,,"Roof R-27.5 SIP, Unvented",,
,,,,"Roof R-37.5 SIP, Unvented",,
,,,,"Roof R-47.5 SIP, Unvented",,
,,,Roof Material
,,,,"Asphalt Shingles, Dark",,
,,,,"Asphalt Shingles, Medium",x,
,,,,"Asphalt Shingles, Light",,
,,,,"Tile, Dark",,
,,,,"Tile, Medium",,
,,,,"Tile, Light",,
,,,,"Metal, Dark",,
,,,,"Metal, Medium",,
,,,,"Metal, Light",,
,,,,Galvanized Steel,,
,,,Radiant Barrier
,,,,None,x,
,,,,"Double-Sided, Foil",,
,,Foundation/Floors
,,,Slab
,,,,None,,
,,,,Uninsulated,x,
,,,,Under Slab 2ft R5 XPS,,
,,,,Under Slab 2ft R10 XPS,,
,,,,Under Slab 4ft R5 XPS,,
,,,,Under Slab 4ft R10 XPS,,
,,,,Perimeter 2ft R5 XPS,,
,,,,Perimeter 2ft R10 XPS,,
,,,,Perimeter 4ft R5 XPS,,
,,,,Perimeter 4ft R10 XPS,,
,,,,Perimeter 4ft R15 XPS,,
,,,,Perimeter 4ft R20 XPS,,
,,,,Whole Slab R10 XPS,,
,,,,Whole Slab R20 XPS,,
,,,,Whole Slab R30 XPS,,
,,,,Whole Slab R40 XPS,,
,,,Carpet
,,,,0% Carpet,,
,,,,20% Carpet,,
,,,,40% Carpet,,
,,,,60% Carpet,,
,,,,80% Carpet,x,
,,,,100% Carpet,,
,,Thermal Mass
,,,Exterior Wall Mass
,,,,None,,
,,,,1/2 in. Drywall,x,
,,,,5/8 in. Drywall,,
,,,,2 x 1/2 in. Drywall,,
,,,,2 x 5/8 in. Drywall,,
,,,Partition Wall Mass
,,,,None,,
,,,,1/2 in. Drywall,x,
,,,,5/8 in. Drywall,,
,,,,2 x 1/2 in. Drywall,,
,,,,2 x 5/8 in. Drywall,,
,,,Ceiling Mass
,,,,None,x,
,,,,1/2 in. Drywall,,
,,,,5/8 in. Drywall,,
,,,,2 x 1/2 in. Drywall,,
,,,,2 x 5/8 in. Drywall,,
,,Windows & Doors
,,,Window Areas
,,,,None,,
,,,,F18 B18 L18 R18,,
,,,,F15 B15 L15 R15,,
,,,,F15 B15 L0 R0,,
,,,,F12 B12 L12 R12,,
,,,,F10 B30 L10 R10,,
,,,,18% F25 B25 L25 R25,,
,,,,18% F20 B40 L20 R20,,
,,,,15% F25 B25 L25 R25,,
,,,,15% F20 B40 L20 R20,,
,,,,"50sqft, all facades",,
,,,,NCYC,x,
,,,Windows
,,,,"Clear, Single, Metal",,
,,,,"Clear, Single, Non-metal",,
,,,,"Clear, Double, Metal, Air",x,
,,,,"Clear, Double, Thermal-Break, Air",,
,,,,"Clear, Double, Non-metal, Air",,
,,,,"Low-E, Double, Non-metal, Air, H-Gain",,
,,,,"Low-E, Double, Non-metal, Air, M-Gain",,
,,,,"Low-E, Double, Non-metal, Air, L-Gain",,
,,,,"Low-E, Double, Non-metal, Arg, H-Gain",,
,,,,"Low-E, Double, Non-metal, Arg, M-Gain",,
,,,,"Low-E, Double, Non-metal, Arg, L-Gain",,
,,,,"Low-E, Double, Insulated, Air, H-Gain",,
,,,,"Low-E, Double, Insulated, Air, M-Gain",,
,,,,"Low-E, Double, Insulated, Air, L-Gain",,
,,,,"Low-E, Double, Insulated, Arg, H-Gain",,
,,,,"Low-E, Double, Insulated, Arg, M-Gain",,
,,,,"Low-E, Double, Insulated, Arg, L-Gain",,
,,,,"Low-E, Triple, Non-metal, Air, H-Gain",,
,,,,"Low-E, Triple, Non-metal, Air, L-Gain",,
,,,,"Low-E, Triple, Non-metal, Arg, H-Gain",,
,,,,"Low-E, Triple, Non-metal, Arg, L-Gain",,
,,,,"Low-E, Triple, Insulated, Air, H-Gain",,
,,,,"Low-E, Triple, Insulated, Air, L-Gain",,
,,,,"Low-E, Triple, Insulated, Arg, H-Gain",,
,,,,"Low-E, Triple, Insulated, Arg, L-Gain",,
,,,,Back Windows = High-SHGC,,
,,,Interior Shading
,,,,None,,
,,,,"Summer = 0.7, Winter = 0.7",,
,,,,"Summer = 0.6, Winter = 0.7",,
,,,,"Summer = 0.5, Winter = 0.7",,
,,,,"Summer = 0.7, Winter = 0.95",,
,,,,"Summer = 0.5, Winter = 0.95",,
,,,,NCYC no south awning,x,
,,,,NCYC yes south awning ,,
,,,Door Area
,,,,None,,
,,,,20 ft^2,x,
,,,,30 ft^2,,
,,,,40 ft^2,,
,,,Doors
,,,,Wood,x,
,,,,Steel,,
,,,,Fiberglass,,
,,,Eaves
,,,,None,x,
,,,,1 ft,,
,,,,2 ft,,
,,,,3 ft,,
,,,Overhangs
,,,,None,x,
,,,,"2ft, All Stories, All Windows",,
,,,,"2ft, First Story, All Windows",,
,,,,"2ft, First Story, Front Windows",,
,,,,"2ft, First Story, Back Windows",,
,,,,"2ft, First Story, Left Windows",,
,,,,"2ft, First Story, Right Windows",,
,,Airflow
,,,Air Leakage
,,,,None,,
,,,,25 ACH50,x,
,,,,20 ACH50,,
,,,,15 ACH50,,
,,,,10 ACH50,,
,,,,8 ACH50,,
,,,,7 ACH50,,
,,,,"7 ACH50, Well-Shielded",,
,,,,6 ACH50,,
,,,,5 ACH50,,
,,,,4 ACH50,,
,,,,3 ACH50,,
,,,,2 ACH50,,
,,,,1 ACH50,,
,,,Mechanical Ventilation
,,,,None,x,
,,,,Exhaust,,
,,,,Supply,,
,,,,CFIS,,
,,,,"HRV, 70%",,
,,,,"ERV, 70%",,
,,,Natural Ventilation
,,,,None,,
,,,,"Cooling Months Only, 3 days/wk",,
,,,,"Cooling Months Only, 7 days/wk",x,
,,Space Conditioning
,,,Central Air Conditioner
,,,,None,x,
,,,,SEER2 7.6,,
,,,,SEER2 9.5,,
,,,,SEER2 12.4,,
,,,,SEER2 13.4,,
,,,,SEER2 14.3,,
,,,,SEER2 15.2,,
,,,,SEER2 16.2,,
,,,,SEER2 17.1,,
,,,,SEER2 20.0,,
,,,,SEER2 23.3,,
,,,Room Air Conditioner
,,,,None,x,
,,,,CEER 8.4,,
,,,,CEER 9.0,,
,,,,CEER 9.7,,
,,,,CEER 11.0,,
,,,,"CEER 8.4, 30% Conditioned",,
,,,,"CEER 9.0, 30% Conditioned",,
,,,,"CEER 9.7, 30% Conditioned",,
,,,,"CEER 11.0, 30% Conditioned",,
,,,,"CEER 8.4, 20% Conditioned",,
,,,,"CEER 9.0, 20% Conditioned",,
,,,,"CEER 9.7, 20% Conditioned",,
,,,,"CEER 11.0, 20% Conditioned",,
,,,Furnace
,,,,None,x,
,,,,"Electric, 100% AFUE",,
,,,,"Gas, 60% AFUE",,
,,,,"Gas, 64% AFUE",,
,,,,"Gas, 68% AFUE",,
,,,,"Gas, 72% AFUE",,
,,,,"Gas, 76% AFUE",,
,,,,"Gas, 78% AFUE",,
,,,,"Gas, 80% AFUE",,
,,,,"Gas, 90% AFUE",,
,,,,"Gas, 92.5% AFUE",,
,,,,"Gas, 95% AFUE",,
,,,,"Gas, 96% AFUE",,
,,,,"Gas, 98% AFUE",,
,,,,"Oil, 72% AFUE",,
,,,,"Oil, 76% AFUE",,
,,,,"Oil, 78% AFUE",,
,,,,"Oil, 80% AFUE",,
,,,,"Oil, 82% AFUE",,
,,,,"Oil, 85% AFUE",,
,,,,"Oil, 90% AFUE",,
,,,,"Oil, 94% AFUE",,
,,,,"Oil, 95% AFUE",,
,,,,"Oil, 96% AFUE",,
,,,,"Propane, 60% AFUE",,
,,,,"Propane, 64% AFUE",,
,,,,"Propane, 68% AFUE",,
,,,,"Propane, 72% AFUE",,
,,,,"Propane, 76% AFUE",,
,,,,"Propane, 78% AFUE",,
,,,,"Propane, 80% AFUE",,
,,,,"Propane, 82% AFUE",,
,,,,"Propane, 90% AFUE",,
,,,,"Propane, 92% AFUE",,
,,,,"Propane, 94% AFUE",,
,,,,"Propane, 96% AFUE",,
,,,Boiler
,,,,None,x,
,,,,"Electric, 100% AFUE",,
,,,,"Gas, 72% AFUE",,
,,,,"Gas, 76% AFUE",,
,,,,"Gas, 80% AFUE",,
,,,,"Gas, 82% AFUE",,
,,,,"Gas, 84% AFUE",,
,,,,"Gas, 96% AFUE",,
,,,,"Gas, 98% AFUE",,
,,,,"Oil, 72% AFUE",,
,,,,"Oil, 76% AFUE",,
,,,,"Oil, 80% AFUE",,
,,,,"Oil, 82% AFUE",,
,,,,"Oil, 84% AFUE",,
,,,,"Oil, 86% AFUE",,
,,,,"Oil, 90% AFUE",,
,,,,"Oil, 95% AFUE",,
,,,,"Oil, 96% AFUE",,
,,,,"Propane, 72% AFUE",,
,,,,"Propane, 76% AFUE",,
,,,,"Propane, 80% AFUE",,
,,,,"Propane, 82% AFUE",,
,,,,"Propane, 84% AFUE",,
,,,,"Propane, 96% AFUE",,
,,,Electric Baseboard
,,,,None,x,
,,,,100% Efficiency,,
,,,Air Source Heat Pump
,,,,None,x,
,,,,"SEER2 7.6, 5.3 HSPF2",,
,,,,"SEER2 9.5, 5.5 HSPF2",,
,,,,"SEER2 12.4, 6.8 HSPF2",,
,,,,"SEER2 13.4, 7.3 HSPF2",,
,,,,"SEER2 14.3, 7.5 HSPF2",,
,,,,"SEER2 15.2, 7.6 HSPF2",,
,,,,"SEER2 16.2, 7.7 HSPF2",,
,,,,"SEER2 17.1, 8.2 HSPF2",,
,,,,"SEER2 18.1, 8.4 HSPF2",,
,,,,"SEER2 20.9, 8.9 HSPF2",,
,,,,"SEER2 20.9, 8.9 HSPF2, Size for Max Load",,
,,,,"SEER2 20.9, 8.9 HSPF2, Gas Backup, 35 F Switchover",,
,,,Mini-Split Heat Pump
,,,,None,,
,,,,"SEER2 14.3, 7.5 HSPF2",,
,,,,"SEER2 14.7, 8.5 HSPF2, Ducted w/ Strip Heat Backup",,
,,,,"SEER2 18, 8.6 HSPF2",,
,,,,"SEER2 18, 8.6 HSPF2, 70% Conditioned, 30% Electric Baseboard",,
,,,,"SEER2 23, 9.5 HSPF2",x,
,,,,"SEER2 26, 11.3 HSPF2",,
,,,,"SEER2 29.3, 12.6 HSPF2",,
,,,,"SEER2 29.3, 12.6 HSPF2, Size for Max Load",,
,,,Ground Source Heat Pump
,,,,None,x,
,,,,"EER 16.6, COP 3.6",,
,,,,"EER 18.2, COP 3.7",,
,,,,"EER 19.4, COP 3.8",,
,,,,"EER 20.2, COP 4.2",,
,,,Ducts
,,,,None,x,
,,,,"30% Leakage, Uninsulated",,
,,,,"30% Leakage, R-4",,
,,,,"30% Leakage, R-6",,
,,,,"30% Leakage, R-8",,
,,,,"20% Leakage, Uninsulated",,
,,,,"20% Leakage, R-4",,
,,,,"20% Leakage, R-6",,
,,,,"20% Leakage, R-8",,
,,,,"15% Leakage, Uninsulated",,
,,,,"15% Leakage, R-4",,
,,,,"15% Leakage, R-6",,
,,,,"15% Leakage, R-8",,
,,,,"10% Leakage, Uninsulated",,
,,,,"10% Leakage, R-4",,
,,,,"10% Leakage, R-6",,
,,,,"10% Leakage, R-8",,
,,,,"7.5% Leakage, Uninsulated",,
,,,,"7.5% Leakage, R-4",,
,,,,"7.5% Leakage, R-6",,
,,,,"7.5% Leakage, R-8",,
,,,,"8 CFM25 per 100ft2, Uninsulated",,
,,,,"8 CFM25 per 100ft2, R-4",,
,,,,"8 CFM25 per 100ft2, R-6",,
,,,,"8 CFM25 per 100ft2, R-8",,
,,,,"4 CFM25 per 100ft2, Uninsulated",,
,,,,"4 CFM25 per 100ft2, R-4",,
,,,,"4 CFM25 per 100ft2, R-6",,
,,,,"4 CFM25 per 100ft2, R-8",,
,,,,In Finished Space,,
,,,,"15% Leakage, R-6, 50% Surface Area, 1 return",,
,,,,"4% Leakage, R-6, 50% Surface Area, supply only (Mini-Split)",,
,,,Ceiling Fan
,,,,None,x,
,,,,"67 cfm/W, #Bedrooms+1 Fans, 0.5 Deg F offset",,
,,,,"100 cfm/W, #Bedrooms+1 Fans, 0.5 Deg F offset",,
,,,,"150 cfm/W, #Bedrooms+1 Fans, 0.5 Deg F offset",,
,,,,"67 cfm/W, 2 Fans, 0.5 Deg F offset",,
,,,,"67 cfm/W, 3 Fans, 0.5 Deg F offset",,
,,,,"67 cfm/W, 4 Fans, 0.5 Deg F offset",,
,,,,"67 cfm/W, 5 Fans, 0.5 Deg F offset",,
,,,Dehumidifier
,,,,None,x,
,,,,"15 pints/day, Portable",,
,,,,"20 pints/day, Portable",,
,,,,"30 pints/day, Portable",,
,,,,"40 pints/day, Portable",,
,,,,"60 pints/day, Whole-Home",,
,,,,"75 pints/day, Whole-Home",,
,,,,"95 pints/day, Whole-Home",,
,,,,"125 pints/day, Whole-Home",,
,,Space Conditioning Schedules
,,,Heating/Cooling Seasons
,,,,Year-Round,,
,,,,"Heating Sep-Apr, Cooling Mar-Oct",,
,,,,"No heat, Cooling June-Aug",x,
,,,Cooling Set Point
,,,,None,,
,,,,69 F,,
,,,,70 F,,
,,,,71 F,,
,,,,72 F,,
,,,,73 F,,
,,,,74 F,,
,,,,75 F,,
,,,,76 F,x,
,,,,77 F,,
,,,,78 F,,
,,,,79 F,,
,,,,80 F,,
,,,,76 F w/ Setup 85 F (wkday),,
,,,,76 F w/ Setup 81 F,,
,,,Heating Set Point
,,,,None,,
,,,,63 F,,
,,,,64 F,,
,,,,65 F,,
,,,,66 F,,
,,,,67 F,,
,,,,68 F,,
,,,,69 F,,
,,,,70 F,,
,,,,71 F,,
,,,,72 F,,
,,,,73 F,,
,,,,74 F,,
,,,,75 F,,
,,,,71 F w/ Setback 65 F,,
,,,,71 F w/ Setback 65 F (wkdy),,
,,,,50 (no heat),x,
,,,Humidity Set Point
,,,,None,x,
,,,,45% RH,,
,,,,50% RH,,
,,,,55% RH,,
,,,,60% RH,,
,,,,65% RH,,
,,Water Heating
,,,Water Heater
,,,,None,x,
,,,,"Electric, Tank, UEF=0.92",,
,,,,"Electric, Tank, UEF=0.93",,
,,,,"Electric, Tankless, UEF=0.99",,
,,,,"Electric, Heat Pump, UEF=3.5, 50 gal",,
,,,,"Electric, Heat Pump, UEF=3.5, 80 gal",,
,,,,"Gas, Tank, UEF=0.57",,
,,,,"Gas, Tank, UEF=0.66",,
,,,,"Gas, Tank, UEF=0.83",,
,,,,"Gas, Tankless, UEF=0.82",,
,,,,"Gas, Tankless, UEF=0.96",,
,,,,"Oil, Tank, UEF=0.61",,
,,,,"Oil, Tank, UEF=0.67",,
,,,,"Propane, Tank, UEF=0.57",,
,,,,"Propane, Tank, UEF=0.66",,
,,,,"Propane, Tank, UEF=0.83",,
,,,,"Propane, Tankless, UEF=0.82",,
,,,Distribution
,,,,None,x,
,,,,"Uninsulated, Copper",,
,,,,"Uninsulated, PEX",,
,,,,"Insulated, Copper",,
,,,,"Insulated, PEX",,
,,,,"Insulated, Copper, Timer Recirc",,
,,,,"Insulated, PEX, Timer Recirc",,
,,,,"Insulated, Copper, Manual Demand Recirc",,
,,,,"Insulated, PEX, Manual Demand Recirc",,
,,,Solar Water Heating
,,,,None,x,
,,,,40 sqft,,
,,,,64 sqft,,
,,,Solar Water Heating Azimuth
,,,,Back Roof,x,
,,,,Front Roof,,
,,,,Left Roof,,
,,,,Right Roof,,
,,,,West,,
,,,,Southwest,,
,,,,South,,
,,,,Southeast,,
,,,,East,,
,,,Solar Water Heating Tilt
,,,,Roof Pitch,x,
,,,,0 degrees,,
,,,,10 degrees,,
,,,,20 degrees,,
,,,,30 degrees,,
,,,,40 degrees,,
,,,,50 degrees,,
,,,,60 degrees,,
,,,,70 degrees,,
,,,,80 degrees,,
,,,,90 degrees,,
,,,,Latitude - 15 degrees,,
,,,,Latitude,,
,,,,Latitude + 15 degrees,,
,,Water Heating Schedules
,,,Water Heater Set Point
,,,,None,x,
,,,,125 F,,
,,,,130 F,,
,,Lighting
,,,Lighting
,,,,None,,
,,,,100% Incandescent,x,
,,,,20% CFL,,
,,,,40% CFL,,
,,,,60% CFL,,
,,,,80% CFL,,
,,,,100% CFL,,
,,,,20% LED,,
,,,,40% LED,,
,,,,60% LED,,
,,,,80% LED,,
,,,,100% LED,,
,,,Lighting Schedule
,,,,Standard,x,
,,,,Stochastic,,
,,Appliances & Fixtures
,,,Refrigerator
,,,,None,,
,,,,"Side freezer, EF = 4.4",,
,,,,"Side freezer, EF = 6.5",,
,,,,"Side freezer, EF = 10.8",,
,,,,"Side freezer, EF = 13.8",,
,,,,"Side freezer, EF = 15.7",,
,,,,"Side freezer, EF = 19.6",,
,,,,"Side freezer, EF = 19.8",,
,,,,"Side freezer, EF = 20.6",,
,,,,"Bottom freezer, EF = 4.5",,
,,,,"Bottom freezer, EF = 6.7",,
,,,,"Bottom freezer, EF = 10.2",,
,,,,"Bottom freezer, EF = 13.6",,
,,,,"Bottom freezer, EF = 15.9",,
,,,,"Bottom freezer, EF = 19.8",,
,,,,"Bottom freezer, EF = 20.1",,
,,,,"Bottom freezer, EF = 21.3",,
,,,,"Top freezer, EF = 4.4",,
,,,,"Top freezer, EF = 6.9",,
,,,,"Top freezer, EF = 10.5",,
,,,,"Top freezer, EF = 14.1",,
,,,,"Top freezer, EF = 15.9",x,
,,,,"Top freezer, EF = 17.6",,
,,,,"Top freezer, EF = 17.6, 95% Usage",,
,,,,"Top freezer, EF = 17.6, 105% Usage",,
,,,,"Top freezer, EF = 19.9",,
